ticker,trends_score,trading_signal,confidence,current_price,rsi,macd,macd_signal,trend_strength,momentum_20d,momentum_50d,volume_ratio,volatility,position_52w,bb_position,week_52_high,week_52_low,current_ma_20,current_ma_50,current_ma_200,individual_scores,data_quality,success
PEP,61.5,HOLD,LOW,143.4499969482422,66.10592230369214,3.404023697356621,2.64212525309951,4.273651837866295,11.87801870421441,11.2915512600643,0.657021160315016,0.21189775955945775,35.500197837254696,77.38324307790398,173.2362518310547,127.05587005615234,138.01399841308594,133.07538970947266,145.5834962463379,"{'price_trend_score': 72, 'moving_average_signal_score': 72, 'trend_strength_score': 80, 'rsi_signal_score': 30, 'macd_signal_score': 75, 'momentum_score_score': 80, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
NVDA,61.5,HOLD,LOW,173.5,75.97004747469029,7.038141795331825,7.258455510629656,7.217615902556485,11.92103936151291,33.5427173007555,0.7257018588452098,0.5626507032576781,99.69786517514369,81.52357005874468,173.74000549316406,94.30345153808594,165.1875015258789,150.35598358154297,133.64736652374268,"{'price_trend_score': 87, 'moving_average_signal_score': 87, 'trend_strength_score': 95, 'rsi_signal_score': 15, 'macd_signal_score': 40, 'momentum_score_score': 80, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
ARM,61.1,HOLD,LOW,163.1699981689453,72.60616255466888,4.577691642456529,4.178317446972896,2.6977276569017796,3.174204531267156,28.804860890325283,0.6544999994800274,0.6680734962361302,82.19105753176787,83.60393007853052,179.92999267578125,85.81999969482422,154.53800048828126,144.12150039672852,136.48729999542238,"{'price_trend_score': 90, 'moving_average_signal_score': 90, 'trend_strength_score': 80, 'rsi_signal_score': 15, 'macd_signal_score': 60, 'momentum_score_score': 60, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
HD,60.9,HOLD,LOW,375.3399963378906,58.300976655158415,2.0309600464610185,1.0247474156083283,1.3472540906189763,3.2572204505888926,1.0900819922482328,0.6418333140677378,0.22241501920704077,45.42628304381471,80.54452095973238,426.0023193359375,333.16949462890625,368.302001953125,365.9627319335938,381.0521209716797,"{'price_trend_score': 70, 'moving_average_signal_score': 70, 'trend_strength_score': 60, 'rsi_signal_score': 50, 'macd_signal_score': 90, 'momentum_score_score': 60, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
ORCL,60.8,HOLD,LOW,245.1199951171875,64.29831917119984,11.967020288890467,13.334249805116192,6.580037763663638,15.421879236931012,51.37784869135612,0.5167664568908762,0.4400498136866441,97.12339112302753,76.35702335098003,248.75,122.55957794189453,234.53229064941405,201.65715911865234,172.8441333770752,"{'price_trend_score': 85, 'moving_average_signal_score': 85, 'trend_strength_score': 95, 'rsi_signal_score': 30, 'macd_signal_score': 10, 'momentum_score_score': 95, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
CRON,60.6,HOLD,LOW,2.049999952316284,51.111109933735534,0.031119834966763182,0.03091448375179102,3.635901287383361,7.329842311072465,0.49019562011037376,0.793072405367171,0.4117252610765146,51.80721991742961,54.59695188001844,2.450000047683716,1.6200000047683716,2.0379999577999115,2.000599970817566,1.9757749915122986,"{'price_trend_score': 70, 'moving_average_signal_score': 70, 'trend_strength_score': 80, 'rsi_signal_score': 50, 'macd_signal_score': 60, 'momentum_score_score': 60, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",250,True
ARKG,60.5,HOLD,LOW,26.0,61.58708081509185,0.6020681535736045,0.5755022463338307,2.596371599632596,5.863194484407385,18.397090546255637,0.7672101243672786,0.4617041004174682,66.78291461180464,77.6792105328324,29.809999465942383,18.34000015258789,25.190999889373778,23.639199905395508,23.98597498893738,"{'price_trend_score': 82, 'moving_average_signal_score': 82, 'trend_strength_score': 80, 'rsi_signal_score': 30, 'macd_signal_score': 60, 'momentum_score_score': 60, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
ETR,60.2,HOLD,LOW,88.16000366210938,83.61169734086185,1.5738131710596264,0.9410426234364718,2.5598909002695356,7.6960701255616035,8.98751925740685,0.7280516510047621,0.27034219875570475,98.89616217420726,89.02283793826426,88.52999877929688,55.011024475097656,83.97450103759766,82.94000061035156,78.94582010269166,"{'price_trend_score': 85, 'moving_average_signal_score': 85, 'trend_strength_score': 80, 'rsi_signal_score': 5, 'macd_signal_score': 75, 'momentum_score_score': 60, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
AEP,60.1,HOLD,LOW,109.79000091552734,73.69308112176466,1.6522642635689238,1.1945587025708333,2.4115391981689625,7.269176895285868,10.275214551821337,0.8119026925380668,0.19389969324909845,98.27650604486266,92.69908688163284,110.16000366210938,88.69182586669922,105.82849998474121,103.6986001586914,99.99185176849365,"{'price_trend_score': 85, 'moving_average_signal_score': 85, 'trend_strength_score': 80, 'rsi_signal_score': 15, 'macd_signal_score': 60, 'momentum_score_score': 60, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
BMRN,59.8,HOLD,LOW,59.0099983215332,56.097557429823496,0.5596243188999708,0.32977707250896077,2.678673835143049,9.075785556187812,-1.2880569981382133,0.6610161390539615,0.3549034580554607,12.39938926458076,71.41478696778728,93.83999633789062,54.08000183105469,57.8044994354248,57.27819984436035,63.714200000762936,"{'price_trend_score': 60, 'moving_average_signal_score': 60, 'trend_strength_score': 80, 'rsi_signal_score': 50, 'macd_signal_score': 60, 'momentum_score_score': 80, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",250,True
