ticker,valuation_score,trading_signal,confidence,sector,industry,market_cap,current_price,pe_ratio,pb_ratio,ps_ratio,peg_ratio,ev_ebitda,ev_sales,dividend_yield,fcf_yield,earnings_yield,position_52w,upside_to_target,graham_number,graham_discount,beta,individual_scores,data_completeness,success
BKR,53.6,HOLD,LOW,Energy,Oil & Gas Equipment & Services,45399728128.0,46.05,15.04902,2.5643167,1.6443815,1.5,10.378,1.757,200.0,2.4160387148299005,6.644950966906816,80.46647230320698,4.818132464712269,35.16259802688077,-23.642566716871283,0.894,"{'pe_ratio_score': 40, 'forward_pe_score': 60, 'pb_ratio_score': 40, 'ps_ratio_score': 40, 'peg_ratio_score': 40, 'ev_ebitda_score': 40, 'ev_sales_score': 100, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 60, 'earnings_yield_score': 100}",100.0,True
ADBE,53.2,HOLD,LOW,Technology,Software - Application,157267902464.0,370.74,23.75016,13.828423,6.9584484,1.5,17.8,6.997,0.0,5.292561229336242,4.210497950329597,15.144287166653639,29.90119760479042,97.03783926901916,-73.82590514403108,1.509,"{'pe_ratio_score': 40, 'forward_pe_score': 40, 'pb_ratio_score': 20, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 60, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
DUK,52.8,HOLD,LOW,Utilities,Utilities - Regulated Electric,93216432128.0,119.93,19.888887,1.8750782,3.0550745,1.5,12.238,5.975,355.0,5.0,5.027933438407086,73.39312406576985,6.9076127741182365,93.15456510552771,-22.325885845470104,0.353,"{'pe_ratio_score': 40, 'forward_pe_score': 40, 'pb_ratio_score': 40, 'ps_ratio_score': 40, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 100, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
AEP,52.8,HOLD,LOW,Utilities,Utilities - Regulated Electric,58649272320.0,109.79,21.19498,2.1459286,2.9093344,1.5,13.192,5.216,339.0,5.0,4.7180983421546046,96.50485436893204,0.36205483195190247,77.2200174825155,-29.665709552313054,0.404,"{'pe_ratio_score': 40, 'forward_pe_score': 40, 'pb_ratio_score': 40, 'ps_ratio_score': 40, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 100, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
ALGN,52.4,HOLD,LOW,Healthcare,Medical Instruments & Supplies,14899975168.0,205.56,37.306713,3.9580243,3.7429194,1.5,17.46,3.553,0.0,4.228489624285527,2.6804827324240543,52.68719557500206,14.009121424401627,80.2411467079079,-60.96461047484535,1.635,"{'pe_ratio_score': 20, 'forward_pe_score': 40, 'pb_ratio_score': 40, 'ps_ratio_score': 80, 'peg_ratio_score': 60, 'ev_ebitda_score': 60, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 60}",100.0,True
CLSK,52.2,HOLD,LOW,Financial Services,Capital Markets,3320758016.0,11.82,20.0,1.756315,6.179292,1.5,16.424,7.196,0.0,5.0,5.0,46.28384204173133,63.705583756345185,11.82,0.0,4.246,"{'pe_ratio_score': 20, 'forward_pe_score': 60, 'pb_ratio_score': 60, 'ps_ratio_score': 40, 'peg_ratio_score': 60, 'ev_ebitda_score': 40, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
BITF,51.8,HOLD,LOW,Financial Services,Capital Markets,690663488.0,1.23,20.0,1.0241466,3.2981083,1.5,23.869,3.204,0.0,5.0,5.0,25.703737886479,151.52439024390245,1.23,0.0,4.104,"{'pe_ratio_score': 20, 'forward_pe_score': 20, 'pb_ratio_score': 80, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 40, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 20, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
CAT,51.2,HOLD,LOW,Industrials,Farm & Heavy Construction Machinery,203999133696.0,433.75,21.137915,11.3088255,3.224824,1.5,16.238,3.797,139.0,3.342048513872528,4.730835562542475,99.33162260547832,-6.55148818443804,133.07330122905947,-69.32027637370388,1.38,"{'pe_ratio_score': 40, 'forward_pe_score': 40, 'pb_ratio_score': 20, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 40, 'ev_sales_score': 100, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 60, 'earnings_yield_score': 80}",100.0,True
EA,50.8,HOLD,LOW,Communication Services,Electronic Gaming & Multimedia,38112935936.0,151.68,35.68941,5.992888,5.106919,1.5,19.611,5.093,50.0,4.344325555974928,2.801951615339116,68.43685494464253,11.435258438818565,49.19622698947552,-67.5657786198078,0.733,"{'pe_ratio_score': 20, 'forward_pe_score': 60, 'pb_ratio_score': 20, 'ps_ratio_score': 40, 'peg_ratio_score': 60, 'ev_ebitda_score': 40, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 100, 'fcf_yield_score': 80, 'earnings_yield_score': 60}",100.0,True
AMZN,50.4,HOLD,LOW,Consumer Cyclical,Internet Retail,1000000000.0,231.44,37.755302,8.030535,3.7782724,1.5,19.981,3.876,0.0,3927.3500671999996,2.6486346209070186,87.8121218787812,8.41027912201867,63.04758916881755,-72.7585598129893,1.337,"{'pe_ratio_score': 20, 'forward_pe_score': 20, 'pb_ratio_score': 20, 'ps_ratio_score': 40, 'peg_ratio_score': 60, 'ev_ebitda_score': 40, 'ev_sales_score': 100, 'ev_fcf_score': 100, 'dividend_yield_score': 20, 'fcf_yield_score': 100, 'earnings_yield_score': 60}",100.0,True
ETR,50.4,HOLD,LOW,Utilities,Utilities - Regulated Electric,39348895744.0,88.16,28.530746,2.5009222,3.2977898,1.5,12.56,5.674,272.0,5.0,3.5049907212380638,96.38132887334652,3.1661184210526376,49.505815567466406,-43.84549050877222,0.573,"{'pe_ratio_score': 20, 'forward_pe_score': 80, 'pb_ratio_score': 20, 'ps_ratio_score': 40, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 100, 'ev_fcf_score': 40, 'dividend_yield_score': 100, 'fcf_yield_score': 80, 'earnings_yield_score': 60}",100.0,True
CUBE,50.0,HOLD,LOW,Real Estate,REIT - Industrial,9489059840.0,41.41,24.502958,3.3183749,8.787029,1.5,18.592,11.985,501.99999999999994,5.12778403977269,4.081139917882568,34.30622009569376,12.157546486355962,21.783341685792838,-47.39593893795499,0.98,"{'pe_ratio_score': 40, 'forward_pe_score': 40, 'pb_ratio_score': 40, 'ps_ratio_score': 20, 'peg_ratio_score': 60, 'ev_ebitda_score': 40, 'ev_sales_score': 80, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 80, 'earnings_yield_score': 80}",100.0,True
DE,48.8,HOLD,LOW,Industrials,Farm & Heavy Construction Machinery,140120473600.0,517.38,24.994202,5.7693725,3.0874422,1.5,21.541,4.417,125.0,3.559794031412694,4.000927895197455,91.52805041843168,5.659553906219792,204.3699164505383,-60.49906906905209,1.085,"{'pe_ratio_score': 40, 'forward_pe_score': 40, 'pb_ratio_score': 20, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 100, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 60, 'earnings_yield_score': 80}",100.0,True
